package	x86_selection	action	target	reason
luci-proto-ipv6	y	migrate	luci-proto-ipv6	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-proto-mbim	y	exclude		用户统一使用 ModemManager；其 mmcli/QMI/MBIM 工具覆盖此功能
luci-proto-minieap	y	migrate	luci-proto-minieap	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-proto-modemmanager	y	migrate	luci-proto-modemmanager	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-proto-ncm	y	exclude		用户统一使用 ModemManager；其 mmcli/QMI/MBIM 工具覆盖此功能
luci-proto-ppp	y	migrate	luci-proto-ppp	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-proto-qmi	y	exclude		用户统一使用 ModemManager；其 mmcli/QMI/MBIM 工具覆盖此功能
luci-proto-quectel	y	exclude		依赖旧 quectel-cm 驱动集合；拨号功能由现有 MM 提供
luci-proto-vxlan	y	migrate	luci-proto-vxlan	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-proto-wireguard	y	migrate	luci-proto-wireguard	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-ssl	y	replace	luci-ssl-openssl	使用已选目标实现，避免互斥构建变体
luci-theme-argon	y	migrate	luci-theme-argon	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-theme-bootstrap	y	migrate	luci-theme-bootstrap	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-theme-kucat	y	migrate	luci-theme-kucat	迁移功能；使用目标源码和依赖，服务默认状态单独适配
mdadm	y	migrate	mdadm	迁移功能；使用目标源码和依赖，服务默认状态单独适配
mdns-utils	y	migrate	mdns-utils	迁移功能；使用目标源码和依赖，服务默认状态单独适配
mdnsd	y	migrate	mdnsd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
mdnsresponder	y	migrate	mdnsresponder	迁移功能；使用目标源码和依赖，服务默认状态单独适配
memcached	y	migrate	memcached	迁移功能；使用目标源码和依赖，服务默认状态单独适配
microsocks	y	migrate	microsocks	迁移功能；使用目标源码和依赖，服务默认状态单独适配
mihomo-meta	y	migrate	mihomo-meta	迁移功能；使用目标源码和依赖，服务默认状态单独适配
minieap	y	migrate	minieap	迁移功能；使用目标源码和依赖，服务默认状态单独适配
miniupnpc	y	migrate	miniupnpc	迁移功能；使用目标源码和依赖，服务默认状态单独适配
miniupnpd-iptables	m	replace	miniupnpd-nftables	使用已选目标实现，避免互斥构建变体；通用运行组件编入固件（x86 原为仅编译）
miniupnpd-nftables	y	migrate	miniupnpd-nftables	迁移功能；使用目标源码和依赖，服务默认状态单独适配
mkf2fs	y	migrate	mkf2fs	迁移功能；使用目标源码和依赖，服务默认状态单独适配
mlxsw_spectrum-firmware	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
mlxsw_spectrum2-firmware	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
mlxsw_spectrum3-firmware	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
mlxsw_spectrum4-firmware	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
modemband	y	exclude		用户统一使用 ModemManager；其 mmcli/QMI/MBIM 工具覆盖此功能
modemmanager	y	migrate	modemmanager	迁移功能；使用目标源码和依赖，服务默认状态单独适配
modemmanager-rpcd	y	migrate	modemmanager-rpcd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
mount-utils	y	migrate	mount-utils	迁移功能；使用目标源码和依赖，服务默认状态单独适配
msgpack-c	y	migrate	msgpack-c	迁移功能；使用目标源码和依赖，服务默认状态单独适配
mtd	y	migrate	mtd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
naiveproxy	y	migrate	naiveproxy	迁移功能；使用目标源码和依赖，服务默认状态单独适配
natmap	y	migrate	natmap	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ndisc6	y	migrate	ndisc6	迁移功能；使用目标源码和依赖，服务默认状态单独适配
netdata	y	migrate	netdata	迁移功能；使用目标源码和依赖，服务默认状态单独适配
netifd	y	migrate	netifd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
nexttrace	y	migrate	nexttrace	迁移功能；使用目标源码和依赖，服务默认状态单独适配
nfs-kernel-server	y	migrate	nfs-kernel-server	迁移功能；使用目标源码和依赖，服务默认状态单独适配
nfs-kernel-server-utils	y	migrate	nfs-kernel-server-utils	迁移功能；使用目标源码和依赖，服务默认状态单独适配
nfs-utils	y	migrate	nfs-utils	迁移功能；使用目标源码和依赖，服务默认状态单独适配
nfs-utils-libs	y	migrate	nfs-utils-libs	迁移功能；使用目标源码和依赖，服务默认状态单独适配
nftables-json	y	migrate	nftables-json	迁移功能；使用目标源码和依赖，服务默认状态单独适配
nikki	y	migrate	nikki	迁移功能；使用目标源码和依赖，服务默认状态单独适配
nmap	y	migrate	nmap	迁移功能；使用目标源码和依赖，服务默认状态单独适配
node	y	exclude		用户暂缓设备 Node.js
node-bufferutil	y	exclude		用户暂缓设备 Node.js
node-clean-modules	y	exclude		用户暂缓设备 Node.js
node-javascript-obfuscator	y	exclude		用户暂缓设备 Node.js
node-jsonfile	y	exclude		用户暂缓设备 Node.js
node-nconf	y	exclude		用户暂缓设备 Node.js
node-net-ping	y	exclude		用户暂缓设备 Node.js
node-npm	y	exclude		用户暂缓设备 Node.js
node-npm-check-updates	y	exclude		用户暂缓设备 Node.js
node-npm-run-all2	y	exclude		用户暂缓设备 Node.js
node-raw-socket	y	exclude		用户暂缓设备 Node.js
node-sleep	y	exclude		用户暂缓设备 Node.js
node-sqlite3	y	exclude		用户暂缓设备 Node.js
node-static	y	exclude		用户暂缓设备 Node.js
node-usb	y	exclude		用户暂缓设备 Node.js
node-utf-8-validate	y	exclude		用户暂缓设备 Node.js
node-websocket	y	exclude		用户暂缓设备 Node.js
node-ws	y	exclude		用户暂缓设备 Node.js
node-yarn	y	exclude		用户暂缓设备 Node.js
npc	y	migrate	npc	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ntfs-3g	y	replace	ntfs3-mount	使用已选目标实现，避免互斥构建变体
ntfs3-mount	y	migrate	ntfs3-mount	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ntp-utils	y	migrate	ntp-utils	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ntpd	y	migrate	ntpd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ntpdate	y	migrate	ntpdate	迁移功能；使用目标源码和依赖，服务默认状态单独适配
nvme-cli	y	migrate	nvme-cli	迁移功能；使用目标源码和依赖，服务默认状态单独适配
odhcp6c	y	migrate	odhcp6c	迁移功能；使用目标源码和依赖，服务默认状态单独适配
odhcpd-ipv6only	y	migrate	odhcpd-ipv6only	迁移功能；使用目标源码和依赖，服务默认状态单独适配
omcproxy	y	migrate	omcproxy	迁移功能；使用目标源码和依赖，服务默认状态单独适配
openssh-client	y	migrate	openssh-client	迁移功能；使用目标源码和依赖，服务默认状态单独适配
openssh-client-utils	y	migrate	openssh-client-utils	迁移功能；使用目标源码和依赖，服务默认状态单独适配
openssh-keygen	y	migrate	openssh-keygen	迁移功能；使用目标源码和依赖，服务默认状态单独适配
openssh-moduli	y	migrate	openssh-moduli	迁移功能；使用目标源码和依赖，服务默认状态单独适配
openssh-server	y	migrate	openssh-server	迁移功能；使用目标源码和依赖，服务默认状态单独适配
openssh-sftp-avahi-service	y	migrate	openssh-sftp-avahi-service	迁移功能；使用目标源码和依赖，服务默认状态单独适配
openssh-sftp-client	y	migrate	openssh-sftp-client	迁移功能；使用目标源码和依赖，服务默认状态单独适配
openssh-sftp-server	y	migrate	openssh-sftp-server	迁移功能；使用目标源码和依赖，服务默认状态单独适配
openssl-util	y	migrate	openssl-util	迁移功能；使用目标源码和依赖，服务默认状态单独适配
openwrt-keyring	y	migrate	openwrt-keyring	迁移功能；使用目标源码和依赖，服务默认状态单独适配
opkg	y	migrate	opkg	迁移功能；使用目标源码和依赖，服务默认状态单独适配
p910nd	y	migrate	p910nd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
parted	y	migrate	parted	迁移功能；使用目标源码和依赖，服务默认状态单独适配
partx-utils	y	migrate	partx-utils	迁移功能；使用目标源码和依赖，服务默认状态单独适配
pciids	y	migrate	pciids	迁移功能；使用目标源码和依赖，服务默认状态单独适配
pciutils	y	migrate	pciutils	迁移功能；使用目标源码和依赖，服务默认状态单独适配
perl	y	migrate	perl	迁移功能；使用目标源码和依赖，服务默认状态单独适配
perl-net-cidr-lite	y	migrate	perl-net-cidr-lite	迁移功能；使用目标源码和依赖，服务默认状态单独适配
perl-text-csv_xs	y	migrate	perl-text-csv_xs	迁移功能；使用目标源码和依赖，服务默认状态单独适配
perlbase-base	y	migrate	perlbase-base	迁移功能；使用目标源码和依赖，服务默认状态单独适配
perlbase-bytes	y	migrate	perlbase-bytes	迁移功能；使用目标源码和依赖，服务默认状态单独适配
perlbase-class	y	migrate	perlbase-class	迁移功能；使用目标源码和依赖，服务默认状态单独适配
perlbase-config	y	migrate	perlbase-config	迁移功能；使用目标源码和依赖，服务默认状态单独适配
perlbase-dynaloader	y	migrate	perlbase-dynaloader	迁移功能；使用目标源码和依赖，服务默认状态单独适配
perlbase-errno	y	migrate	perlbase-errno	迁移功能；使用目标源码和依赖，服务默认状态单独适配
perlbase-essential	y	migrate	perlbase-essential	迁移功能；使用目标源码和依赖，服务默认状态单独适配
perlbase-fcntl	y	migrate	perlbase-fcntl	迁移功能；使用目标源码和依赖，服务默认状态单独适配
perlbase-filehandle	y	migrate	perlbase-filehandle	迁移功能；使用目标源码和依赖，服务默认状态单独适配
perlbase-getopt	y	migrate	perlbase-getopt	迁移功能；使用目标源码和依赖，服务默认状态单独适配
perlbase-io	y	migrate	perlbase-io	迁移功能；使用目标源码和依赖，服务默认状态单独适配
perlbase-list	y	migrate	perlbase-list	迁移功能；使用目标源码和依赖，服务默认状态单独适配
perlbase-net	y	migrate	perlbase-net	迁移功能；使用目标源码和依赖，服务默认状态单独适配
perlbase-posix	y	migrate	perlbase-posix	迁移功能；使用目标源码和依赖，服务默认状态单独适配
perlbase-scalar	y	migrate	perlbase-scalar	迁移功能；使用目标源码和依赖，服务默认状态单独适配
perlbase-selectsaver	y	migrate	perlbase-selectsaver	迁移功能；使用目标源码和依赖，服务默认状态单独适配
perlbase-socket	y	migrate	perlbase-socket	迁移功能；使用目标源码和依赖，服务默认状态单独适配
perlbase-symbol	y	migrate	perlbase-symbol	迁移功能；使用目标源码和依赖，服务默认状态单独适配
perlbase-tie	y	migrate	perlbase-tie	迁移功能；使用目标源码和依赖，服务默认状态单独适配
perlbase-time	y	migrate	perlbase-time	迁移功能；使用目标源码和依赖，服务默认状态单独适配
perlbase-xsloader	y	migrate	perlbase-xsloader	迁移功能；使用目标源码和依赖，服务默认状态单独适配
php8	m	migrate	php8	迁移功能；使用目标源码和依赖，服务默认状态单独适配；通用运行组件编入固件（x86 原为仅编译）
php8-cgi	m	migrate	php8-cgi	迁移功能；使用目标源码和依赖，服务默认状态单独适配；通用运行组件编入固件（x86 原为仅编译）
php8-mod-pdo	m	migrate	php8-mod-pdo	迁移功能；使用目标源码和依赖，服务默认状态单独适配；通用运行组件编入固件（x86 原为仅编译）
php8-mod-pdo-sqlite	m	migrate	php8-mod-pdo-sqlite	迁移功能；使用目标源码和依赖，服务默认状态单独适配；通用运行组件编入固件（x86 原为仅编译）
php8-mod-xml	m	migrate	php8-mod-xml	迁移功能；使用目标源码和依赖，服务默认状态单独适配；通用运行组件编入固件（x86 原为仅编译）
pipx	y	migrate	pipx	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ppp	y	migrate	ppp	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ppp-mod-pppoe	y	migrate	ppp-mod-pppoe	迁移功能；使用目标源码和依赖，服务默认状态单独适配
procd	y	migrate	procd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
procd-seccomp	y	migrate	procd-seccomp	迁移功能；使用目标源码和依赖，服务默认状态单独适配
procd-ujail	y	migrate	procd-ujail	迁移功能；使用目标源码和依赖，服务默认状态单独适配
proto-bonding	y	migrate	proto-bonding	迁移功能；使用目标源码和依赖，服务默认状态单独适配
protobuf	y	migrate	protobuf	迁移功能；使用目标源码和依赖，服务默认状态单独适配
protobuf-lite	y	migrate	protobuf-lite	迁移功能；使用目标源码和依赖，服务默认状态单独适配
px5g-mbedtls	y	replace	openssl-util	使用已选目标实现，避免互斥构建变体
python3	y	migrate	python3	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-argcomplete	y	migrate	python3-argcomplete	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-asyncio	y	migrate	python3-asyncio	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-base	y	migrate	python3-base	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-cgi	y	migrate	python3-cgi	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-cgitb	y	migrate	python3-cgitb	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-click	y	migrate	python3-click	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-codecs	y	migrate	python3-codecs	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-ctypes	y	migrate	python3-ctypes	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-dbm	y	migrate	python3-dbm	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-decimal	y	migrate	python3-decimal	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-distutils	y	migrate	python3-distutils	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-email	y	migrate	python3-email	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-light	y	migrate	python3-light	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-logging	y	migrate	python3-logging	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-lzma	y	migrate	python3-lzma	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-multiprocessing	y	migrate	python3-multiprocessing	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-ncurses	y	migrate	python3-ncurses	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-openssl	y	migrate	python3-openssl	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-packaging	y	migrate	python3-packaging	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-pkg-resources	y	migrate	python3-pkg-resources	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-platformdirs	y	migrate	python3-platformdirs	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-psutil	y	migrate	python3-psutil	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-pydoc	y	migrate	python3-pydoc	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-readline	y	migrate	python3-readline	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-sqlite3	y	migrate	python3-sqlite3	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-unittest	y	migrate	python3-unittest	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-urllib	y	migrate	python3-urllib	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-userpath	y	migrate	python3-userpath	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-uuid	y	migrate	python3-uuid	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-venv	y	migrate	python3-venv	迁移功能；使用目标源码和依赖，服务默认状态单独适配
python3-xml	y	migrate	python3-xml	迁移功能；使用目标源码和依赖，服务默认状态单独适配
qmi-utils	y	migrate	qmi-utils	迁移功能；使用目标源码和依赖，服务默认状态单独适配
qosmate	y	migrate	qosmate	迁移功能；使用目标源码和依赖，服务默认状态单独适配
quectel-CM-5G-M	y	exclude		用户统一使用 ModemManager；其 mmcli/QMI/MBIM 工具覆盖此功能
quectel-cm	y	exclude		用户统一使用 ModemManager，不安装重叠拨号管理器
quectel-timesync	y	exclude		用户统一使用 ModemManager；其 mmcli/QMI/MBIM 工具覆盖此功能
r8152-firmware	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
r8169-firmware	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
rclone	y	migrate	rclone	迁移功能；使用目标源码和依赖，服务默认状态单独适配
rclone-config	y	migrate	rclone-config	迁移功能；使用目标源码和依赖，服务默认状态单独适配
rdisc6	y	migrate	rdisc6	迁移功能；使用目标源码和依赖，服务默认状态单独适配
rdnssd	y	migrate	rdnssd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
resize2fs	y	migrate	resize2fs	迁移功能；使用目标源码和依赖，服务默认状态单独适配
resolveip	y	migrate	resolveip	迁移功能；使用目标源码和依赖，服务默认状态单独适配
rpcbind	y	migrate	rpcbind	迁移功能；使用目标源码和依赖，服务默认状态单独适配
rpcd	y	migrate	rpcd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
rpcd-mod-file	y	migrate	rpcd-mod-file	迁移功能；使用目标源码和依赖，服务默认状态单独适配
rpcd-mod-iwinfo	y	migrate	rpcd-mod-iwinfo	迁移功能；使用目标源码和依赖，服务默认状态单独适配
rpcd-mod-luci	y	migrate	rpcd-mod-luci	迁移功能；使用目标源码和依赖，服务默认状态单独适配
rpcd-mod-rpcsys	y	migrate	rpcd-mod-rpcsys	迁移功能；使用目标源码和依赖，服务默认状态单独适配
rpcd-mod-rrdns	y	migrate	rpcd-mod-rrdns	迁移功能；使用目标源码和依赖，服务默认状态单独适配
rpcd-mod-ucode	y	migrate	rpcd-mod-ucode	迁移功能；使用目标源码和依赖，服务默认状态单独适配
rrdtool1	y	migrate	rrdtool1	迁移功能；使用目标源码和依赖，服务默认状态单独适配
rsync	y	migrate	rsync	迁移功能；使用目标源码和依赖，服务默认状态单独适配
rsyncd	y	migrate	rsyncd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
samba4-libs	y	migrate	samba4-libs	迁移功能；使用目标源码和依赖，服务默认状态单独适配
samba4-server	y	migrate	samba4-server	迁移功能；使用目标源码和依赖，服务默认状态单独适配
scapy	y	migrate	scapy	迁移功能；使用目标源码和依赖，服务默认状态单独适配
scapy-src	y	migrate	scapy-src	迁移功能；使用目标源码和依赖，服务默认状态单独适配
sed	y	migrate	sed	迁移功能；使用目标源码和依赖，服务默认状态单独适配
sendat	y	exclude		用户统一使用 ModemManager；其 mmcli/QMI/MBIM 工具覆盖此功能
sgdisk	y	migrate	sgdisk	迁移功能；使用目标源码和依赖，服务默认状态单独适配
shadow-tls	y	migrate	shadow-tls	迁移功能；使用目标源码和依赖，服务默认状态单独适配
shadowsocks-rust-sslocal	y	migrate	shadowsocks-rust-sslocal	迁移功能；使用目标源码和依赖，服务默认状态单独适配
shadowsocks-rust-ssserver	y	migrate	shadowsocks-rust-ssserver	迁移功能；使用目标源码和依赖，服务默认状态单独适配
shellsync	y	migrate	shellsync	迁移功能；使用目标源码和依赖，服务默认状态单独适配
simple-obfs-client	y	migrate	simple-obfs-client	迁移功能；使用目标源码和依赖，服务默认状态单独适配
sing-box	y	migrate	sing-box	迁移功能；使用目标源码和依赖，服务默认状态单独适配
smartdns	y	migrate	smartdns	迁移功能；使用目标源码和依赖，服务默认状态单独适配
smartdns-ui	y	migrate	smartdns-ui	迁移功能；使用目标源码和依赖，服务默认状态单独适配
smartmontools	y	migrate	smartmontools	迁移功能；使用目标源码和依赖，服务默认状态单独适配
smbinfo	y	migrate	smbinfo	迁移功能；使用目标源码和依赖，服务默认状态单独适配
sms-tool	y	exclude		用户统一使用 ModemManager；其 mmcli/QMI/MBIM 工具覆盖此功能
socat	y	migrate	socat	迁移功能；使用目标源码和依赖，服务默认状态单独适配
softethervpn5-bridge	y	migrate	softethervpn5-bridge	迁移功能；使用目标源码和依赖，服务默认状态单独适配
softethervpn5-client	y	migrate	softethervpn5-client	迁移功能；使用目标源码和依赖，服务默认状态单独适配
softethervpn5-libs	y	migrate	softethervpn5-libs	迁移功能；使用目标源码和依赖，服务默认状态单独适配
softethervpn5-server	y	migrate	softethervpn5-server	迁移功能；使用目标源码和依赖，服务默认状态单独适配
speedtest-cli	y	migrate	speedtest-cli	迁移功能；使用目标源码和依赖，服务默认状态单独适配
sqlite3-cli	m	migrate	sqlite3-cli	迁移功能；使用目标源码和依赖，服务默认状态单独适配；通用运行组件编入固件（x86 原为仅编译）
sshtunnel	y	migrate	sshtunnel	迁移功能；使用目标源码和依赖，服务默认状态单独适配
sudo	y	migrate	sudo	迁移功能；使用目标源码和依赖，服务默认状态单独适配
swap-utils	y	migrate	swap-utils	迁移功能；使用目标源码和依赖，服务默认状态单独适配
sysfsutils	y	migrate	sysfsutils	迁移功能；使用目标源码和依赖，服务默认状态单独适配
tailscale	y	migrate	tailscale	迁移功能；使用目标源码和依赖，服务默认状态单独适配
tc-full	y	migrate	tc-full	迁移功能；使用目标源码和依赖，服务默认状态单独适配
tc-tiny	y	replace	tc-full	使用已选目标实现，避免互斥构建变体
tcpdump	y	migrate	tcpdump	迁移功能；使用目标源码和依赖，服务默认状态单独适配
tcping	y	migrate	tcping	迁移功能；使用目标源码和依赖，服务默认状态单独适配
terminfo	y	migrate	terminfo	迁移功能；使用目标源码和依赖，服务默认状态单独适配
tmate	y	migrate	tmate	迁移功能；使用目标源码和依赖，服务默认状态单独适配
traceroute6	y	migrate	traceroute6	迁移功能；使用目标源码和依赖，服务默认状态单独适配
trojan	y	migrate	trojan	迁移功能；使用目标源码和依赖，服务默认状态单独适配
trojan-plus	y	migrate	trojan-plus	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ts-node	y	exclude		用户暂缓设备 Node.js
ttyd	y	migrate	ttyd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ua3f	y	exclude		用户暂缓 UA3F
ubox	y	migrate	ubox	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ubus	y	migrate	ubus	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ubusd	y	migrate	ubusd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
uci	y	migrate	uci	迁移功能；使用目标源码和依赖，服务默认状态单独适配
uclient-fetch	y	migrate	uclient-fetch	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ucode	y	migrate	ucode	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ucode-mod-fs	y	migrate	ucode-mod-fs	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ucode-mod-html	y	migrate	ucode-mod-html	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ucode-mod-lua	y	migrate	ucode-mod-lua	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ucode-mod-math	y	migrate	ucode-mod-math	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ucode-mod-nl80211	y	migrate	ucode-mod-nl80211	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ucode-mod-rtnl	y	migrate	ucode-mod-rtnl	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ucode-mod-ubus	y	migrate	ucode-mod-ubus	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ucode-mod-uci	y	migrate	ucode-mod-uci	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ucode-mod-uloop	y	migrate	ucode-mod-uloop	迁移功能；使用目标源码和依赖，服务默认状态单独适配
udpxy	y	migrate	udpxy	迁移功能；使用目标源码和依赖，服务默认状态单独适配
uhttpd	y	migrate	uhttpd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
uhttpd-mod-lua	y	migrate	uhttpd-mod-lua	迁移功能；使用目标源码和依赖，服务默认状态单独适配
uhttpd-mod-ubus	y	migrate	uhttpd-mod-ubus	迁移功能；使用目标源码和依赖，服务默认状态单独适配
umbim	y	exclude		用户统一使用 ModemManager；其 mmcli/QMI/MBIM 工具覆盖此功能
umdns	y	migrate	umdns	迁移功能；使用目标源码和依赖，服务默认状态单独适配
unzip	y	migrate	unzip	迁移功能；使用目标源码和依赖，服务默认状态单独适配
uqmi	y	exclude		用户统一使用 ModemManager；其 mmcli/QMI/MBIM 工具覆盖此功能
urandom-seed	y	migrate	urandom-seed	迁移功能；使用目标源码和依赖，服务默认状态单独适配
urngd	y	migrate	urngd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
usbids	y	migrate	usbids	迁移功能；使用目标源码和依赖，服务默认状态单独适配
usbutils	y	migrate	usbutils	迁移功能；使用目标源码和依赖，服务默认状态单独适配
usign	y	migrate	usign	迁移功能；使用目标源码和依赖，服务默认状态单独适配
v2ray-geoip	y	migrate	v2ray-geoip	迁移功能；使用目标源码和依赖，服务默认状态单独适配
v2ray-geosite	y	migrate	v2ray-geosite	迁移功能；使用目标源码和依赖，服务默认状态单独适配
v2ray-plugin	y	migrate	v2ray-plugin	迁移功能；使用目标源码和依赖，服务默认状态单独适配
vlmcsd	y	migrate	vlmcsd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
vsftpd	y	migrate	vsftpd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
vxlan	y	migrate	vxlan	迁移功能；使用目标源码和依赖，服务默认状态单独适配
wakeonlan	y	migrate	wakeonlan	迁移功能；使用目标源码和依赖，服务默认状态单独适配
wget-ssl	y	migrate	wget-ssl	迁移功能；使用目标源码和依赖，服务默认状态单独适配
whois	y	migrate	whois	迁移功能；使用目标源码和依赖，服务默认状态单独适配
wifi-scripts	y	dependency-only		仅允许目标软件依赖解析器按需选择的通用基础组件
wifischedule	y	migrate	wifischedule	迁移功能；使用目标源码和依赖，服务默认状态单独适配
wireguard-tools	y	migrate	wireguard-tools	迁移功能；使用目标源码和依赖，服务默认状态单独适配
wireless-regdb	y	dependency-only		仅允许目标软件依赖解析器按需选择的通用基础组件
wpa-cli	y	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
wpa-supplicant	y	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
wpa-supplicant-basic	m	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
wpa-supplicant-mbedtls	m	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
wpa-supplicant-mesh-mbedtls	m	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
wpa-supplicant-mesh-openssl	m	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
wpa-supplicant-mesh-wolfssl	m	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
wpa-supplicant-mini	m	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
wpa-supplicant-openssl	m	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
wpa-supplicant-p2p	m	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
wpa-supplicant-wolfssl	m	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
wpad	m	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
wpad-basic	m	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
wpad-basic-mbedtls	m	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
wpad-basic-openssl	m	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
wpad-basic-wolfssl	m	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
wpad-mbedtls	m	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
wpad-mesh-mbedtls	m	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
wpad-mesh-openssl	m	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
wpad-mesh-wolfssl	m	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
wpad-mini	m	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
wpad-openssl	m	migrate	wpad-openssl	迁移功能；使用目标源码和依赖，服务默认状态单独适配；通用运行组件编入固件（x86 原为仅编译）
wpad-wolfssl	m	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
wsdd2	y	migrate	wsdd2	迁移功能；使用目标源码和依赖，服务默认状态单独适配
